Stream,SYN,FIN,LEN,DPORT,PROTO,MIRAI
stream_0_date_09:21:05_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:22:43_09_19_2019.pcap,0.13,0,23.06,23,6,1
stream_0_date_09:23:44_09_19_2019.pcap,0,0.25,14.12,23,6,1
stream_0_date_09:24:14_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:24:45_09_19_2019.pcap,0.1,0,19.52,23,6,1
stream_0_date_09:25:15_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:25:46_09_19_2019.pcap,0,0.33,12.66,23,6,1
stream_0_date_09:27:01_09_17_2019.pcap,0.06,0,51.19,23,6,1
stream_0_date_09:27:48_09_19_2019.pcap,0.11,0,48.05,23,6,1
stream_0_date_09:29:02_09_17_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:29:49_09_19_2019.pcap,0.1,0,19.36,23,6,1
stream_0_date_09:30:09_09_20_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_09:30:50_09_19_2019.pcap,0,0.33,12.66,23,6,1
stream_0_date_09:32:10_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:32:42_09_18_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:33:18_09_21_2019.pcap,0.06,0,52.4,23,6,1
stream_0_date_09:35:00_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:35:11_09_20_2019.pcap,0.05,0,47.3,23,6,1
stream_0_date_09:35:20_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:36:21_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:37:13_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:38:23_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:39:14_09_20_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_09:39:24_09_21_2019.pcap,0.05,0,58.91,23,6,1
stream_0_date_09:40:25_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:41:15_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:41:18_09_23_2019.pcap,0.06,0,6.3,23,6,1
stream_0_date_09:41:26_09_21_2019.pcap,0.06,0,68,23,6,1
stream_0_date_09:42:19_09_23_2019.pcap,0,0.5,0,23,6,-1
stream_0_date_09:43:27_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_09:46:29_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:48:31_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:49:32_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:50:33_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:52:34_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:53:19_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:54:20_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:55:21_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:56:22_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_09:57:23_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:01:37_09_21_2019.pcap,0.06,0,70.34,23,6,1
stream_0_date_10:02:38_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:03:39_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_10:04:09_09_22_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_10:04:40_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:05:41_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:06:42_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:07:10_09_22_2019.pcap,0.07,0,27.28,23,6,1
stream_0_date_10:07:43_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:09:44_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:10:12_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_10:10:29_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:12:30_09_20_2019.pcap,0.28,0,53.68,23,6,1
stream_0_date_10:13:31_09_20_2019.pcap,0,0.9,0,23,6,-1
stream_0_date_10:15:47_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:16:33_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:17:49_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:18:35_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:18:50_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:19:03_09_19_2019.pcap,0.25,0,16.25,23,6,1
stream_0_date_10:19:51_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:20:52_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:21:37_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:21:53_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:22:38_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:26:16_09_22_2019.pcap,0.06,0,70.34,23,6,1
stream_0_date_10:28:18_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_10:29:19_09_22_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_10:30:20_09_22_2019.pcap,0.06,0,70.34,23,6,1
stream_0_date_10:30:41_09_20_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_10:30:56_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:31:21_09_22_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_10:31:42_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:31:57_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:32:22_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_10:32:58_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:33:23_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_10:33:43_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:34:24_09_22_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_10:34:44_09_20_2019.pcap,0.21,0,44.39,23,6,1
stream_0_date_10:34:59_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:36:25_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_10:36:45_09_20_2019.pcap,0,0.71,0,23,6,-1
stream_0_date_10:37:01_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:37:46_09_20_2019.pcap,0,0.71,0,23,6,-1
stream_0_date_10:38:02_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:38:47_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:42:27_09_22_2019.pcap,0.05,0,48.65,23,6,1
stream_0_date_10:44:28_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_10:46:05_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:46:30_09_22_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_10:46:50_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:47:51_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:48:31_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_10:48:52_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:49:53_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:50:54_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:52:09_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:52:55_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:53:56_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_10:54:33_09_22_2019.pcap,0.06,0,55.9,23,6,1
stream_0_date_10:56:34_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_11:00:12_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:01:13_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:01:59_09_20_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_11:04:00_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_11:05:01_09_20_2019.pcap,0.06,0,70.34,23,6,1
stream_0_date_11:05:15_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:05:41_09_23_2019.pcap,0.87,0,0,23,6,-1
stream_0_date_11:06:16_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:08:03_09_20_2019.pcap,0,0.7,0,23,6,-1
stream_0_date_11:08:38_09_22_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_11:10:16_09_19_2019.pcap,0.4,0,14,23,6,1
stream_0_date_11:10:39_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_11:11:05_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:11:17_09_19_2019.pcap,0,0,89.62,23,6,1
stream_0_date_11:12:18_09_19_2019.pcap,0.04,0,36.55,23,6,1
stream_0_date_11:12:41_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_11:13:19_09_19_2019.pcap,0.05,0,56.13,23,6,1
stream_0_date_11:14:20_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_11:15:21_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_11:16:42_09_22_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_11:18:20_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:18:44_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_11:19:08_09_20_2019.pcap,0.06,0,70.34,23,6,1
stream_0_date_11:19:21_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:21:09_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_11:22:23_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:23:24_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:24:25_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:28:47_09_22_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_11:30:48_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_11:33:14_09_18_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_11:33:50_09_22_2019.pcap,0.06,0,70.34,23,6,1
stream_0_date_11:34:28_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:35:51_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_11:36:30_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:39:32_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:39:35_09_17_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_11:41:34_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:50:37_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:52:39_09_21_2019.pcap,0.25,0,4.37,23,6,1
stream_0_date_11:56:42_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_11:57:43_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:03:21_09_20_2019.pcap,0.06,0,51.19,23,6,1
stream_0_date_12:04:45_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:05:22_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_12:05:34_09_19_2019.pcap,0.06,0,48.75,23,6,1
stream_0_date_12:05:46_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:06:35_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_12:07:23_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:07:36_09_19_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:07:48_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:08:37_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_12:09:49_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:10:50_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:20:53_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:21:47_09_17_2019.pcap,0.14,0,57.92,23,6,1
stream_0_date_12:21:54_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:22:55_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:23:48_09_17_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_12:23:56_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:27:58_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:34:45_09_19_2019.pcap,0.09,0.04,40.51,23,6,1
stream_0_date_12:36:46_09_19_2019.pcap,0.06,0.06,3.44,23,6,1
stream_0_date_12:38:47_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_12:39:48_09_19_2019.pcap,0,0,229.93,23,6,1
stream_0_date_12:41:49_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_12:51:53_09_19_2019.pcap,0.06,0,22.15,23,6,1
stream_0_date_12:52:05_09_21_2019.pcap,0.85,0,0,23,6,-1
stream_0_date_12:52:54_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_12:56:06_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_12:57:07_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_13:03:10_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_13:04:57_09_19_2019.pcap,0.14,0,5.42,23,6,1
stream_0_date_13:05:58_09_19_2019.pcap,0,0.11,90.05,23,6,1
stream_0_date_13:08:00_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:11:16_09_22_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_13:12:01_09_19_2019.pcap,0.06,0,50.46,23,6,1
stream_0_date_13:13:17_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:14:03_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:19:19_09_22_2019.pcap,0.09,0,5.09,23,6,1
stream_0_date_13:20:20_09_22_2019.pcap,0,0,193.3,23,6,1
stream_0_date_13:21:05_09_19_2019.pcap,0.12,0,48.09,23,6,1
stream_0_date_13:22:21_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:22:43_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_13:23:06_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:26:43_09_18_2019.pcap,1,0,0,23,6,-1
stream_0_date_13:30:24_09_22_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_13:31:25_09_22_2019.pcap,0,0,94.88,23,6,1
stream_0_date_13:32:18_09_21_2019.pcap,0.16,0.16,3.91,23,6,1
stream_0_date_13:32:26_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:32:48_09_20_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_13:33:27_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:34:49_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:35:28_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:35:50_09_20_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_13:37:47_09_18_2019.pcap,0.06,0,54.72,23,6,1
stream_0_date_13:37:51_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:38:52_09_20_2019.pcap,0.06,0,70.34,23,6,1
stream_0_date_13:39:48_09_18_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:40:54_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:44:31_09_22_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_13:46:33_09_22_2019.pcap,0.11,0,60.73,23,6,1
stream_0_date_13:48:13_09_19_2019.pcap,0.05,0,33.05,23,6,1
stream_0_date_13:48:34_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_13:49:14_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_13:49:23_09_21_2019.pcap,0.09,0.09,3.19,23,6,1
stream_0_date_13:51:24_09_23_2019.pcap,1,0,0,23,6,-1
stream_0_date_13:55:17_09_19_2019.pcap,0.06,0,22.09,23,6,1
stream_0_date_13:55:58_09_20_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_13:56:18_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_13:56:59_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:04:02_09_20_2019.pcap,0.1,0,5.35,23,6,1
stream_0_date_14:05:03_09_20_2019.pcap,0,0,193.3,23,6,1
stream_0_date_14:07:04_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:11:06_09_20_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_14:11:15_09_17_2019.pcap,0.16,0,6.54,23,6,1
stream_0_date_14:12:16_09_17_2019.pcap,0,0,164.33,23,6,1
stream_0_date_14:12:41_09_22_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_14:13:07_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:13:42_09_22_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_14:14:17_09_17_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:14:43_09_22_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_14:15:23_09_19_2019.pcap,0.05,0,20.73,23,6,1
stream_0_date_14:15:44_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:16:09_09_20_2019.pcap,0.06,0,70.34,23,6,1
stream_0_date_14:16:24_09_19_2019.pcap,0,0.16,12.5,23,6,1
stream_0_date_14:16:45_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:17:18_09_17_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_14:17:25_09_19_2019.pcap,0.05,0,78.07,23,6,1
stream_0_date_14:18:10_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:18:26_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:19:11_09_20_2019.pcap,0.06,0,70.34,23,6,1
stream_0_date_14:20:27_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:21:12_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:21:28_09_19_2019.pcap,0.05,0,20.36,23,6,1
stream_0_date_14:22:13_09_20_2019.pcap,0.06,0,57.82,23,6,1
stream_0_date_14:22:29_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_14:23:59_09_18_2019.pcap,1,0,0,23,6,-1
stream_0_date_14:24:15_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:32:33_09_19_2019.pcap,0.06,0,59.65,23,6,1
stream_0_date_14:34:34_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:34:50_09_22_2019.pcap,0.07,0,62.11,23,6,1
stream_0_date_14:35:04_09_18_2019.pcap,0.06,0,54.72,23,6,1
stream_0_date_14:35:51_09_22_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_14:36:36_09_21_2019.pcap,0.85,0,0,23,6,-1
stream_0_date_14:36:52_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:37:05_09_18_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:37:53_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:38:54_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:45:21_09_20_2019.pcap,0.25,0,4.37,23,6,1
stream_0_date_14:47:22_09_20_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_14:49:09_09_18_2019.pcap,0.06,0,54.72,23,6,1
stream_0_date_14:49:23_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:51:10_09_18_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_14:53:25_09_20_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_14:54:26_09_20_2019.pcap,0.05,0.05,60,23,6,1
stream_0_date_14:55:27_09_20_2019.pcap,0.06,0,57.82,23,6,1
stream_0_date_14:56:28_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_15:04:31_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_15:05:32_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_15:08:33_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_15:09:34_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_15:10:35_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_15:12:44_09_19_2019.pcap,0.25,0,4.37,23,6,1
stream_0_date_15:14:46_09_19_2019.pcap,0.06,0,55.8,23,6,1
stream_0_date_15:16:47_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_15:17:17_09_18_2019.pcap,0.06,0,40.83,23,6,1
stream_0_date_15:18:18_09_18_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_15:18:48_09_19_2019.pcap,0.05,0,20.36,23,6,1
stream_0_date_15:19:19_09_18_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_15:19:49_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_15:21:50_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_15:22:51_09_19_2019.pcap,0.05,0,18.97,23,6,1
stream_0_date_15:23:52_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_15:24:21_09_18_2019.pcap,0.06,0,23.58,23,6,1
stream_0_date_15:25:22_09_18_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_15:27:49_09_21_2019.pcap,0.28,0,5,23,6,1
stream_0_date_15:27:54_09_19_2019.pcap,0.05,0,81.97,23,6,1
stream_0_date_15:28:50_09_21_2019.pcap,0,0,0,23,6,-1
stream_0_date_15:29:24_09_18_2019.pcap,0.05,0,21.82,23,6,1
stream_0_date_15:29:51_09_21_2019.pcap,0.85,0,0,23,6,-1
stream_0_date_15:29:55_09_19_2019.pcap,0.06,0,22.09,23,6,1
stream_0_date_15:30:25_09_18_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_15:30:56_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_15:31:44_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_15:32:08_09_22_2019.pcap,0.09,0.09,3.19,23,6,1
stream_0_date_15:32:45_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_15:33:46_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_15:34:27_09_18_2019.pcap,0.04,0,19.26,23,6,1
stream_0_date_15:34:47_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_15:35:28_09_18_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_15:35:48_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_15:35:58_09_19_2019.pcap,0.05,0,21.82,23,6,1
stream_0_date_15:36:29_09_18_2019.pcap,0.06,0,55.8,23,6,1
stream_0_date_15:36:49_09_20_2019.pcap,0.85,0,0,23,6,-1
stream_0_date_15:36:52_09_23_2019.pcap,0.06,0,51.19,23,6,1
stream_0_date_15:36:59_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_15:37:30_09_18_2019.pcap,0.06,0,22.09,23,6,1
stream_0_date_15:38:31_09_18_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_15:38:53_09_23_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_15:40:32_09_18_2019.pcap,0.05,0,20.36,23,6,1
stream_0_date_15:41:33_09_18_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_15:52:04_09_19_2019.pcap,0.06,0,22.15,23,6,1
stream_0_date_15:53:05_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_16:01:39_09_18_2019.pcap,0.06,0,59.65,23,6,1
stream_0_date_16:01:56_09_20_2019.pcap,0.16,0,6.5,23,6,1
stream_0_date_16:02:57_09_20_2019.pcap,0,0.06,65.48,23,6,1
stream_0_date_16:03:40_09_18_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_16:04:58_09_20_2019.pcap,0.07,0,5.48,23,6,1
stream_0_date_16:05:59_09_20_2019.pcap,0,0.37,3.5,23,6,1
stream_0_date_16:06:41_09_18_2019.pcap,0.05,0,20.44,23,6,1
stream_0_date_16:07:00_09_20_2019.pcap,1,0,0,23,6,-1
stream_0_date_16:07:42_09_18_2019.pcap,0,0.16,12.5,23,6,1
stream_0_date_16:08:43_09_18_2019.pcap,0.06,0,51.19,23,6,1
stream_0_date_16:10:45_09_18_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_16:11:10_09_19_2019.pcap,0.05,0,20.89,23,6,1
stream_0_date_16:11:46_09_18_2019.pcap,0.06,0,22.09,23,6,1
stream_0_date_16:12:11_09_19_2019.pcap,0,0.2,15.2,23,6,1
stream_0_date_16:13:12_09_19_2019.pcap,0,0.2,7.6,23,6,1
stream_0_date_16:13:48_09_18_2019.pcap,0.05,0,21.82,23,6,1
stream_0_date_16:14:49_09_18_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_16:15:03_09_20_2019.pcap,0.06,0,51.19,23,6,1
stream_0_date_16:17:04_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_16:18:50_09_18_2019.pcap,0.05,0,20.36,23,6,1
stream_0_date_16:19:05_09_20_2019.pcap,0.05,0,60,23,6,1
stream_0_date_16:19:51_09_18_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_16:21:07_09_20_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_16:22:08_09_20_2019.pcap,0.09,0,5.09,23,6,1
stream_0_date_16:23:09_09_20_2019.pcap,0,0,193.3,23,6,1
